id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,21608
4,.,3128
5,요,2723
6,",",1685
7,네,1455
8,가,1380
9,이,1377
10,아,1356
11,예,1313
12,?,1288
13,그,1250
14,는,1005
15,고,996
16,어,982
17,다,952
18,지,937
19,니,936
20,거,859
21,에,846
22,기,719
23,보,687
24,데,677
25,시,643
26,인,641
27,하,623
28,1,623
29,서,618
30,저,577
31,나,502
32,여,501
33,세,489
34,게,476
35,있,459
36,금,447
37,*,444
38,로,422
39,도,392
40,화,388
41,정,371
42,해,370
43,안,355
44,전,352
45,한,342
46,면,335
47,주,327
48,은,320
49,까,317
50,리,307
51,개,299
52,구,296
53,동,285
54,원,284
55,희,278
56,번,275
57,신,269
58,뭐,267
59,],265
60,[,265
61,알,263
62,겠,262
63,소,258
64,라,258
65,9,253
66,을,248
67,수,241
68,제,238
69,으,233
70,습,230
71,입,228
72,좀,224
73,사,208
74,를,208
75,드,207
76,자,205
77,차,204
78,만,203
79,일,192
80,계,185
81,건,184
82,오,183
83,러,176
84,대,172
85,없,170
86,같,168
87,선,167
88,야,166
89,연,161
90,든,157
91,물,153
92,려,153
93,잠,149
94,래,148
95,경,146
96,내,145
97,상,144
98,들,142
99,부,141
100,생,140
101,병,139
102,죠,135
103,확,134
104,되,134
105,스,130
106,님,130
107,분,128
108,무,127
109,말,126
110,쪽,125
111,방,124
112,단,123
113,급,122
114,문,121
115,실,117
116,혹,113
117,근,113
118,호,112
119,간,107
120,불,104
121,트,103
122,치,103
123,우,103
124,릴,103
125,2,99
126,볼,98
127,디,98
128,천,94
129,속,94
130,조,92
131,와,92
132,장,90
133,관,90
134,렇,89
135,파,88
136,씀,88
137,재,86
138,런,86
139,할,85
140,출,85
141,맞,83
142,집,82
143,송,82
144,진,81
145,위,81
146,바,81
147,새,80
148,받,80
149,몇,79
150,때,79
151,르,77
152,했,76
153,셔,76
154,될,75
155,합,72
156,의,72
157,길,72
158,모,71
159,마,70
160,떻,70
161,돼,66
162,터,65
163,냥,65
164,응,64
165,셨,64
166,약,60
167,찰,59
168,음,59
169,깐,59
170,못,58
171,테,57
172,울,57
173,걸,56
174,피,55
175,중,55
176,슨,55
177,평,54
178,료,54
179,담,54
180,냄,54
181,었,52
182,산,52
183,많,52
184,통,51
185,처,51
186,빌,51
187,층,49
188,람,49
189,감,49
190,현,47
191,역,47
192,앞,47
193,났,47
194,더,46
195,4,46
196,프,45
197,럼,45
198,타,44
199,능,44
200,열,43
201,갈,43
202,청,42
203,성,42
204,비,42
205,잘,41
206,발,41
207,먹,41
208,락,41
209,잖,40
210,용,40
211,양,40
212,애,40
213,것,40
214,렸,39
215,당,38
216,히,37
217,두,37
218,5,37
219,0,37
220,름,36
221,남,36
222,왔,35
223,또,35
224,않,34
225,봐,34
226,난,34
227,국,34
228,7,34
229,좋,33
230,월,33
231,센,33
232,졌,32
233,운,32
234,머,32
235,넘,32
236,긴,32
237,공,32
238,직,31
239,워,31
240,올,31
241,설,31
242,막,31
243,떨,31
244,결,31
245,황,30
246,점,30
247,달,30
248,온,29
249,얘,29
250,배,29
251,된,29
252,누,29
253,녕,29
254,교,29
255,3,29
256,죄,28
257,져,28
258,옆,28
259,변,28
260,른,28
261,필,27
262,크,26
263,작,26
264,았,26
265,십,26
266,명,26
267,쭤,25
268,적,25
269,반,25
270,너,25
271,추,24
272,목,24
273,린,24
274,갔,24
275,6,24
276,환,23
277,학,23
278,미,23
279,회,22
280,험,22
281,포,22
282,좌,22
283,랑,22
284,검,22
285,갖,22
286,체,21
287,움,21
288,석,21
289,늘,21
290,군,21
291,과,21
292,찾,20
293,찮,20
294,업,20
295,빠,20
296,떤,20
297,따,20
298,날,20
299,괜,20
300,편,19
301,왜,19
302,식,19
303,손,19
304,봤,19
305,벨,19
306,밖,19
307,등,19
308,됐,19
309,노,19
310,꺼,19
311,텔,18
312,냐,18
313,후,17
314,택,17
315,코,17
316,켜,17
317,몸,17
318,높,17
319,끊,17
320,태,16
321,색,16
322,살,16
323,민,16
324,레,16
325,놓,16
326,곳,16
327,갑,16
328,8,16
329,유,15
330,영,15
331,순,15
332,련,15
333,딩,15
334,겨,15
335,강,15
336,혼,14
337,혈,14
338,펌,14
339,친,14
340,얼,14
341,빨,14
342,몰,14
343,멈,14
344,림,14
345,던,14
346,닌,14
347,쳐,13
348,종,13
349,접,13
350,외,13
351,압,13
352,별,13
353,베,13
354,루,13
355,랬,13
356,란,13
357,넣,13
358,꿔,13
359,형,12
360,초,12
361,본,12
362,매,12
363,럴,12
364,골,12
365,힐,11
366,홀,11
367,탄,11
368,큰,11
369,징,11
370,줄,11
371,완,11
372,술,11
373,삼,11
374,블,11
